[11:49:25] [Server thread/INFO]: Starting minecraft server version 1.12.2
[11:49:25] [Server thread/INFO]: Loading properties
[11:49:25] [Server thread/INFO]: Default game type: SURVIVAL
[11:49:25] [Server thread/INFO]: Generating keypair
[11:49:26] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:49:26] [Server thread/INFO]: Using epoll channel type
[11:49:26] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[11:49:26] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[11:49:26] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[11:49:26] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[11:49:26] [Server thread/INFO]: Preparing level "world"
[11:49:28] [Server thread/INFO]: Loaded 488 advancements
[11:49:29] [Server thread/INFO]: Preparing start region for level 0
[11:49:30] [Server thread/INFO]: Preparing spawn area: 0%
[11:49:31] [Server thread/INFO]: Preparing spawn area: 12%
[11:49:32] [Server thread/INFO]: Preparing spawn area: 24%
[11:49:33] [Server thread/INFO]: Preparing spawn area: 42%
[11:49:34] [Server thread/INFO]: Preparing spawn area: 58%
[11:49:35] [Server thread/INFO]: Preparing spawn area: 77%
[11:49:36] [Server thread/INFO]: Done (9.692s)! For help, type "help" or "?"
[12:35:44] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2324ms behind, skipping 46 tick(s)
[12:36:29] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2002ms behind, skipping 40 tick(s)
[12:37:14] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2313ms behind, skipping 46 tick(s)
[12:38:00] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2303ms behind, skipping 46 tick(s)
[12:38:45] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2273ms behind, skipping 45 tick(s)
[12:40:15] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2642ms behind, skipping 52 tick(s)
[12:41:46] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2173ms behind, skipping 43 tick(s)
[12:42:31] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2248ms behind, skipping 44 tick(s)
[12:43:16] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2463ms behind, skipping 49 tick(s)
[12:44:01] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2095ms behind, skipping 41 tick(s)
[12:44:47] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2458ms behind, skipping 49 tick(s)
[12:45:34] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 3905ms behind, skipping 78 tick(s)
[12:46:19] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2127ms behind, skipping 42 tick(s)
[12:47:04] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2506ms behind, skipping 50 tick(s)
[12:47:50] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2468ms behind, skipping 49 tick(s)
[12:48:36] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 3012ms behind, skipping 60 tick(s)
[12:49:21] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2238ms behind, skipping 44 tick(s)
[12:50:07] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2837ms behind, skipping 56 tick(s)
